ncaa_name,bd_name,school_id,max_season,min_season
Charlotte,North Carolina-Charlotte,458,2022,2013
UNC Greensboro,North Carolina-Greensboro,459,2022,2013
UNCW,North Carolina-Wilmington,460,2022,2013
North Dakota,North Dakota,494,2022,2013
North Dakota St.,North Dakota State,493,2022,2013
North Florida,North Florida,2711,2022,2013
Northeastern,Northeastern,500,2022,2013
Northern Colo.,Northern Colorado,502,2022,2013
Northern Ill.,Northern Illinois,503,2022,2013
Northern Ky.,Northern Kentucky,505,2022,2013
Northwestern,Northwestern,509,2022,2013
Northwestern St.,Northwestern State,508,2022,2013
Notre Dame,Notre Dame,513,2022,2013
Oakland,Oakland,514,2022,2013
Ohio,Ohio,519,2022,2013
Ohio St.,Ohio State,518,2022,2013
Oklahoma,Oklahoma,522,2022,2013
Oklahoma St.,Oklahoma State,521,2022,2013
Old Dominion,Old Dominion,523,2022,2013
Oral Roberts,Oral Roberts,527,2022,2013
Oregon,Oregon,529,2022,2013
Oregon St.,Oregon State,528,2022,2013
Pacific,Pacific,534,2022,2013
Penn St.,Penn State,539,2022,2013
Penn,Pennslyvania,540,2022,2013
Pepperdine,Pepperdine,541,2022,2013
Pittsburgh,Pittsburgh,545,2022,2013
Portland,Portland,551,2022,2013
Prairie View,Prairie View A&M,553,2022,2013
Presbyterian,Presbyterian,1320,2022,2013
Princeton,Princeton,554,2022,2013
Purdue,Purdue,559,2022,2013
Quinnipiac,Quinnipiac,562,2022,2013
Radford,Radford,563,2022,2013
Rhode Island,Rhode Island,572,2022,2013
Rice,Rice,574,2022,2013
Richmond,Richmond,575,2022,2013
Rider,Rider,576,2022,2013
Rutgers,Rutgers,587,2022,2013
Sacramento St.,Sacramento State,102,2022,2013
Sacred Heart,Sacred Heart,590,2022,2013
Sam Houston St.,Sam Houston State,624,2022,2013
Samford,Samford,625,2022,2013
San Diego,San Diego,627,2022,2013
San Diego St.,San Diego State,626,2022,2013
San Francisco,San Francisco,629,2022,2013
San Jose St.,San Jose State,630,2022,2013
Santa Clara,Santa Clara,631,2022,2013
Savannah St.,Savannah State,632,2022,2013
Seattle U,Seattle,1356,2022,2013
Seton Hall,Seton Hall,635,2022,2013
Siena,Siena,639,2022,2013
South Alabama,South Alabama,646,2022,2013
South Carolina,South Carolina,648,2022,2013
USC Upstate,South Carolina-Upstate,10411,2022,2013
South Dakota St.,South Dakota State,649,2022,2013
South Fla.,South Florida,651,2022,2013
Southeast Mo. St.,Southeast Missouri State,654,2022,2013
Southeastern La.,Southeastern Louisiana,655,2022,2013
