Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
16,Rhett Rosevear,So,INF,20,20,11,60,15,3,1,26,2,6,12,13,0,1,18,1,2,2,6,0,2022
22,Preston Faulkner,Sr,INF,20,20,9,71,19,7,0,38,4,15,10,5,1,0,19,2,0,0,2,2,2022
9,Christian Garcia,Jr,OF,20,20,9,65,12,2,1,22,2,7,5,5,2,1,15,2,3,2,3,1,2022
1,Bryce Grizzaffi,Jr,C,20,19,6,61,11,2,0,13,0,6,4,6,0,2,10,2,2,0,4,0,2022
6,Evan Keller,Sr,INF,20,20,12,74,18,3,0,27,2,10,12,3,0,1,14,2,1,1,8,0,2022
30,Shea Thomas,Jr,INF,20,19,7,58,12,2,0,14,0,4,12,1,0,0,21,0,2,0,2,1,2022
4,Champ Artigues,Jr,INF,17,10,2,36,7,0,0,7,0,1,7,2,0,0,11,1,0,0,0,0,2022
2,Tyler Finke,Jr,INF,17,16,8,52,11,3,1,19,1,7,7,5,0,2,10,0,1,1,8,0,2022
3,Jake Johnson,Jr,OF,13,9,5,33,3,1,0,4,0,1,4,0,0,0,10,1,0,0,1,0,2022
19,Tristan Welch,Sr,OF,12,8,5,28,8,0,0,17,3,4,2,2,0,0,6,0,1,0,0,0,2022
5,Connor Manola,Jr,C,12,9,5,32,6,1,0,10,1,7,1,4,1,0,7,1,1,0,0,0,2022
23,Pierce Leavengood,Jr,INF,11,2,0,12,1,0,0,1,0,0,2,1,0,0,6,0,0,0,0,0,2022
13,Trey Harrington,Sr,INF,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022
8,Joe Delaney,So,OF,10,2,1,12,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,2022
10,Gage Trahan,Sr,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
24,Andrew Landry,So,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
21,Daniel Dugas,Sr,P,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
38,Reid Reynolds,Jr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
12,Nick Ray,Sr,OF,5,2,0,9,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2022
29,Will Kinzeler,So,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
45,Alex Potter,Jr,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
37,Hayden Robb,Jr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
15,Tj Salvaggio,Fr,INF,5,4,1,9,1,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,2022
26,Hunter Otoole,Jr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
32,Lance Lauve,Fr,P,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
28,Kyle Bartley,So,p,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
27,Dalton Aspholm,Jr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
44,Adam Guth,Fr,P,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
36,Brock Batty,Sr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
42,Andrew Yuratich,Fr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
11,Noah Smith,So,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
43,Christian Westcott,Fr,INF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
39,Michael Curry,Fr,C,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2022
34,Ethan Crayton,Fr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
32,O'Neill Burgos,Jr,DH,18,17,9,65,19,4,0,29,2,13,7,1,0,0,16,0,1,0,1,1,2022
11,Tremaine Spears,Sr,OF,17,17,9,60,16,4,1,28,2,10,5,4,1,0,18,3,0,0,3,0,2022
2,Taj Porter,Sr,C,17,16,5,58,9,0,0,12,1,6,6,7,0,1,16,0,0,1,0,0,2022
10,Zavier Moore,Sr,INF,15,12,9,40,11,3,0,23,3,8,7,5,1,0,9,0,1,0,2,0,2022
40,Jj Rollon,So,OF,15,14,12,57,18,2,2,24,0,11,7,2,0,2,11,0,0,0,4,0,2022
7,Jovante Dorris,Sr,INF,15,15,10,57,14,3,0,26,3,11,7,2,0,1,16,0,4,0,5,0,2022
17,Hunter Tabb,So,INF,14,13,8,42,11,3,1,16,0,7,5,4,0,0,14,2,1,0,1,0,2022
6,Jaylen Armstrong,Jr,OF,11,8,7,33,6,2,0,11,1,1,1,0,0,1,13,1,0,1,2,0,2022
8,Justin Wiley,Jr,INF,11,11,4,30,5,1,0,6,0,4,3,0,1,6,12,0,0,0,2,0,2022
29,Michael Latulas,Fr,OF,10,8,1,31,6,1,0,7,0,3,0,0,0,0,14,0,0,0,0,0,2022
20,Quincy Smith,So,OF,9,9,6,30,10,1,0,14,1,6,2,2,0,1,9,0,0,1,2,0,2022
27,Jalon Mack,Fr,INF,8,6,4,24,2,0,1,4,0,1,2,0,0,1,9,0,0,0,0,0,2022
0,Nick Luckett,Fr,P,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
4,Jahli Hendricks,Jr,INF,8,5,2,21,3,0,0,3,0,1,4,0,0,0,7,2,2,0,0,0,2022
3,Caleb Tart,So,INF,7,5,2,21,2,0,0,2,0,1,2,0,0,0,7,0,0,0,0,0,2022
36,Jerry Burkett Ii,So,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
23,Ryan Ollison,Jr,OF,6,1,1,6,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,2022
21,Enrique Ozoa,Jr,P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
38,Aj Walter,Fr,lf,6,5,1,17,3,0,0,3,0,1,1,2,0,0,4,0,0,0,0,0,2022
18,Nicholas Wilson,So,P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
1,Isaiah Adams,So,UT,5,5,2,12,3,0,0,3,0,1,5,0,1,0,3,0,1,0,1,0,2022
51,Anthony Fidanza,Jr,P,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
30,Joseph Battaglia Iii,Sr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
9,Mykel Page,Sr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
12,Christian Davis,So,P,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
52,Caleb Washington,So,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
34,Deonte Dotson,So,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
25,Khristian Paul,Sr,P,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
48,Nyle Banks,Fr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
13,Gustavo Sanchez,So,C,3,3,1,10,3,0,0,6,1,1,1,1,0,0,1,0,0,0,0,0,2022
22,Dillen Miller,Sr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
28,Justin Henry,Sr,OF,2,1,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2022
43,Brendan Evans,Fr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
15,Jd Herrod,Fr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
51,James Caollouet,Fr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
6,D'Andre Smith,So,INF,18,18,16,71,22,3,2,35,2,9,9,3,0,0,14,3,3,1,1,0,2022
13,Tyresse Turner,Jr,INF,18,18,13,65,23,5,1,30,0,10,8,2,2,2,6,2,1,1,6,1,2022
32,Rhylan Thomas,Jr,OF,18,18,14,72,25,2,1,29,0,7,8,0,1,2,8,2,0,0,4,0,2022
4,Johnny Olmstead,Jr,INF,18,18,9,60,12,4,0,22,2,5,7,1,1,0,16,1,0,0,0,0,2022
21,Adrian Colon-Rosado,Jr,OF,18,16,14,60,24,3,1,32,1,13,4,4,1,0,7,1,1,1,0,0,2022
18,Trevor Halsema,Sr,OF,18,18,7,70,15,4,1,24,1,13,3,1,1,1,17,1,0,0,2,0,2022
33,Garrett Guillemette,So,C,17,15,9,63,15,2,1,25,2,14,3,1,0,0,11,4,0,0,0,0,2022
2,Tyler Lozano,Sr,C,15,15,10,55,13,1,0,26,4,11,0,1,1,0,14,2,2,0,0,0,2022
36,Nick Lopez,Jr,INF,15,15,4,50,10,2,0,18,2,9,5,0,2,2,8,0,1,1,0,0,2022
32,Matt Keating,So,1B,12,2,0,9,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,2022
18,Nate Clow,So,P,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
11,Carson Lambert,Sr,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
24,Ethan Reed,Sr,P,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
9,Carson Wells,So,OF,9,4,5,12,1,1,0,2,0,0,4,0,0,0,9,0,0,0,0,0,2022
5,Miko Rodriguez,Jr,OF,8,2,2,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2022
27,Emilio Rosas,Sr,INF,7,3,0,10,1,0,0,1,0,1,1,0,1,0,3,0,0,0,0,0,2022
43,Kyle Wisch,So,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
54,Charlie Hurley,So,P,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
28,Tyler Stromsborg,So,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
38,Toby Spach,Jr,P,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
45,Jaden Agassi,So,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
20,Ethan Hoopingarner,Jr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
39,Jason Starrels,Sr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
49,Garrett Clarke,Jr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
18,Josh Blum,Fr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
29,Isaac Esqueda,Sr,P,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
25,Fisher Johnson,Fr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
41,Ethan Firestone,So,C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022
51,Evan Clark,Fr,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
13,J.T. Weber,Sr,OF,20,20,25,85,37,7,0,68,8,22,8,2,1,0,17,2,2,0,2,4,2022
