ncaa_name,bd_name,school_id,max_season,min_season,division
Hamilton,,267,2022,2013,3
Stockton,,681,2022,2013,3
Gwynedd Mercy,,12399,2022,2013,3
Swarthmore,,686,2022,2013,3
Wabash,,747,2022,2013,3
Lehman,,279,2022,2013,3
Sul Ross St.,,1390,2022,2013,3
Misericordia,,16142,2022,2013,3
Marymount  (Atlantic East),,394,2022,2013,3
Mary Hardin-Baylor,,1203,2022,2013,3
Grove City,,265,2022,2013,3
UMass Boston,,401,2022,2013,3
Penn St.-Berks,,30044,2022,2013,3
East Tex. Baptist,,1062,2022,2013,3
Centenary  (Atlantic East),,12884,2022,2013,3
Anderson  (HCAC),,939,2022,2013,3
Wis.-Stevens Point,,802,2022,2013,3
Thiel,,707,2022,2013,3
Vassar,,737,2022,2013,3
Westminster  (C),,1451,2022,2013,3
Penn St. Harrisburg,,30081,2022,2013,3
Rose-Hulman,,585,2022,2013,3
New England Col.,,467,2022,2013,3
Bridgewater St.,,76,2022,2013,3
Schreiner,,1355,2022,2013,3
Kenyon,,335,2022,2013,3
Ohio Northern,,517,2022,2013,3
Salisbury,,622,2022,2013,3
Catholic,,124,2022,2013,3
John Carroll,,320,2022,2013,3
Austin,,953,2022,2013,3
Mary Washington,,390,2022,2013,3
Wheaton  (NEWC),,779,2022,2013,3
St. Mary's  (United East),,611,2022,2013,3
McMurry,,8530,2022,2013,3
York  (MAC Commonwealth),,815,2022,2013,3
Penn College,,30190,2022,2013,3
Hardin-Simmons,,271,2022,2013,3
New Jersey City,,319,2022,2013,3
Roger Williams,,583,2022,2013,3
Millsaps,,426,2022,2013,3
Guilford,,1112,2022,2013,3
Cabrini,,88,2022,2013,3
Mass. Maritime,,399,2022,2013,3
Carthage,,121,2022,2013,3
Eureka,,218,2022,2013,3
Mitchell,,30042,2022,2013,3
NYU,,479,2022,2013,3
Emory,,217,2022,2013,3
Manhattanville,,382,2022,2013,3
Keuka,,1159,2022,2013,3
Johns Hopkins,,322,2022,2013,3
Wis.-Oshkosh,,798,2022,2013,3
Covenant,,30111,2022,2013,3
Delaware Valley,,179,2022,2013,3
Bridgewater  (ODAC),,75,2022,2013,3
Texas Lutheran,,1400,2022,2013,3
Mt. St. Joseph,,8567,2022,2013,3
Rutgers-Newark,,589,2022,2013,3
MSOE,,20220,2022,2013,3
Wesleyan  (NESCAC),,764,2022,2013,3
Ripon,,577,2022,2013,3
St. John Fisher,,601,2022,2013,3
Farmingdale St.,,27892,2022,2013,3
Olivet,,525,2022,2013,3
Wheaton  (CCIW),,778,2022,2013,3
Wartburg,,750,2022,2013,3
Benedictine  (NACC),,296,2022,2013,3
Puget Sound,,557,2022,2013,3
Brevard,,30094,2022,2013,3
Mount Aloysius,,30036,2022,2013,3
Pacific Lutheran,,1297,2022,2013,3
Lancaster Bible,,30085,2022,2013,3
Saint Vincent,,30064,2022,2013,3
Gallaudet,,245,2022,2013,3
Central  (American Rivers),,126,2022,2013,3
Trinity  (NESCAC),,713,2022,2013,3
Pacific  (NWC),,2751,2022,2013,3
Augustana  (CCIW),,40,2022,2013,3
Wis.-Stout,,803,2022,2013,3
Ozarks  (ASC),,23008,2022,2013,3
Howard Payne,,2741,2022,2013,3
Millikin,,424,2022,2013,3
Dubuque,,192,2022,2013,3
WashU,,755,2022,2013,3
Babson,,45,2022,2013,3
St. Joseph's  (Great Northeast),,605,2022,2013,3
Lewis & Clark,,22235,2022,2013,3
Hendrix,,1124,2022,2013,3
Rensselaer,,570,2022,2013,3
Carleton,,118,2022,2013,3
Nichols,,484,2022,2013,3
Hanover,,1115,2022,2013,3
Elizabethtown,,211,2022,2013,3
Haverford,,276,2022,2013,3
Concordia Wisconsin,,1036,2022,2013,3
Muskingum,,455,2022,2013,3
Mount Union,,452,2022,2013,3
Western New Eng.,,775,2022,2013,3
Luther,,372,2022,2013,3
JWU  (Great Northeast),,22626,2022,2013,3
Franciscan,,30069,2022,2013,3
Clarkson,,146,2022,2013,3
Westminster  (SLIAC),,1450,2022,2013,3
Transylvania,,28749,2022,2013,3
Husson,,1133,2022,2013,3
Dominican  (NACC),,1332,2022,2013,3
Va. Wesleyan,,745,2022,2013,3
Muhlenberg,,453,2022,2013,3
Messiah,,411,2022,2013,3
St. Norbert,,614,2022,2013,3
King's  (MAC Freedom),,336,2022,2013,3
Monmouth  (MWC),,438,2022,2013,3
Greensboro,,263,2022,2013,3
Pitt.-Greensburg,,11839,2022,2013,3
Saint John's  (MIAC),,602,2022,2013,3
Macalester,,376,2022,2013,3
TCNJ,,712,2022,2013,3
Willamette,,785,2022,2013,3
Thomas  (North Atlantic),,2758,2022,2013,3
Norwich,,511,2022,2013,3
Emerson,,214,2022,2013,3
North Park,,496,2022,2013,3
Southwestern  (SCAC),,8746,2022,2013,3
Alvernia,,938,2022,2013,3
St. Joseph's  (Skyline),,30072,2022,2013,3
Oberlin,,515,2022,2013,3
Edgewood,,1066,2022,2013,3
Geneva,,30084,2022,2013,3
Illinois Col.,,297,2022,2013,3
Cal Lutheran,,105,2022,2013,3
Wentworth,,762,2022,2013,3
Trine,,30037,2022,2013,3
Bard,,962,2022,2013,3
Oglethorpe,,2713,2022,2013,3
Alfred St.,,30170,2022,2013,3
Fredonia,,242,2022,2013,3
Rockford,,582,2022,2013,3
Whitman,,780,2022,2013,3
Cobleskill St.,,30083,2022,2013,3
Bethany Lutheran,,30038,2022,2013,3
SUNY Maritime,,478,2022,2013,3
Neb. Wesleyan,,462,2022,2013,3
St. Lawrence,,607,2022,2013,3
Cairn,,1305,2022,2013,3
Chris. Newport,,139,2022,2013,3
Lakeland,,1164,2022,2013,3
Wis.-Superior,,804,2022,2013,3
Bowdoin,,69,2022,2013,3
Amherst,,24,2022,2013,3
Worcester St.,,809,2022,2013,3
Hilbert,,8398,2022,2013,3
Houghton,,30160,2022,2013,3
Eastern,,8968,2022,2013,3
Me.-Farmington,,379,2022,2013,3
IIT,,30172,2022,2013,3
Centre,,132,2022,2013,3
Capital,,117,2022,2013,3
SUNY New Paltz,,475,2022,2013,3
Hampden-Sydney,,269,2022,2013,3
Beloit,,53,2022,2013,3
MIT,,398,2022,2013,3
Southern Va.,,30164,2022,2013,3
Salem St.,,621,2022,2013,3
Lesley,,24317,2022,2013,3
Bluffton,,987,2022,2013,3
FDU-Florham,,221,2022,2013,3
Eastern Nazarene,,1064,2022,2013,3
Neumann,,1254,2022,2013,3
WPI,,808,2022,2013,3
Dean,,30219,2022,2013,3
Rosemont,,15882,2022,2013,3
Pitt.-Bradford,,1315,2022,2013,3
Marian  (NACC),,1196,2022,2013,3
Simpson,,641,2022,2013,3
Marywood,,397,2022,2013,3
Piedmont,,21830,2022,2013,3
UMass Dartmouth,,656,2022,2013,3
Williams,,789,2022,2013,3
Juniata,,325,2022,2013,3
Averett,,44,2022,2013,3
Linfield,,1179,2022,2013,3
Ramapo,,564,2022,2013,3
RIT,,580,2022,2013,3
Elmira,,213,2022,2013,3
Concordia Chicago,,160,2022,2013,3
Bates,,50,2022,2013,3
St. Thomas  (SCAC),,2810,2022,2013,3
Cazenovia,,23624,2022,2013,3
Ohio Wesleyan,,520,2022,2013,3
Minn.-Morris,,1226,2022,2013,3
Mt. St. Mary  (Skyline),,1468,2022,2013,3
Valley Forge,,30166,2022,2013,3
Plymouth St.,,548,2022,2013,3
Bob Jones,,30232,2022,2013,3
CWRU,,122,2022,2013,3
Baruch,,58,2022,2013,3
Augsburg,,38,2022,2013,3
Southern Me.,,662,2022,2013,3
Ferrum,,225,2022,2013,3
Heidelberg,,278,2022,2013,3
Wis. Lutheran,,8911,2022,2013,3
St. Scholastica,,618,2022,2013,3
Mary Baldwin,,389,2022,2013,3
Elms,,532,2022,2013,3
CCNY,,480,2022,2013,3
Fitchburg St.,,227,2022,2013,3
Rutgers-Camden,,588,2022,2013,3
Dickinson,,185,2022,2013,3
Framingham St.,,238,2022,2013,3
Wis.-Eau Claire,,793,2022,2013,3
Gordon,,1099,2022,2013,3
La Roche,,1163,2022,2013,3
Chatham,,10972,2022,2013,3
Stevenson,,21852,2022,2013,3
Blackburn,,64,2022,2013,3
Belhaven,,30197,2022,2013,3
Alma,,21,2022,2013,3
MCLA,,486,2022,2013,3
Colby-Sawyer,,152,2022,2013,3
Susquehanna,,685,2022,2013,3
Greenville,,1111,2022,2013,3
Lasell,,8486,2022,2013,3
Manchester,,1192,2022,2013,3
Coast Guard,,722,2022,2013,3
Cornell College,,166,2022,2013,3
North Central  (UMAC),,30039,2022,2013,3
Carroll  (CCIW),,120,2022,2013,3
SUNY Oneonta,,526,2022,2013,3
Saint Mary's  (MIAC),,612,2022,2013,3
Ursinus,,730,2022,2013,3
Clark  (NEWC),,145,2022,2013,3
Purchase,,30029,2022,2013,3
Albertus Magnus,,2798,2022,2013,3
SUNY Poly,,9500,2022,2013,3
Russell Sage,,11036,2022,2013,3
SUNY Canton,,30165,2022,2013,3
Northland,,1267,2022,2013,3
Concordia  (ASC),,24400,2022,2013,3
Occidental,,516,2022,2013,3
Bethany  (PAC),,59,2022,2013,3
Waynesburg,,1434,2022,2013,3
Me.-Presque Isle,,30040,2022,2013,3
George Fox,,1094,2022,2013,3
St. Olaf,,615,2022,2013,3
Whittier,,781,2022,2013,3
Drew,,190,2022,2013,3
NVU-Lyndon,,30065,2022,2013,3
Defiance,,1050,2022,2013,3
Hiram,,281,2022,2013,3
Hamline,,268,2022,2013,3
Caltech,,89,2022,2013,3
Dallas,,1044,2022,2013,3
Western Conn. St.,,770,2022,2013,3
Knox,,337,2022,2013,3
MUW,,431,2022,2013,3
Hood,,8404,2022,2013,3
Martin Luther,,8597,2022,2013,3
Sewanee,,652,2022,2013,3
Wells,,761,2022,2013,3
LeTourneau,,8490,2022,2013,3
Albion,,15,2022,2013,3
Castleton,,123,2022,2013,3
Berea,,30171,2022,2013,3
Whitworth,,1454,2022,2013,3
Clarks Summit,,958,2022,2013,3
Curry,,170,2022,2013,3
John Jay,,321,2022,2013,3
Medaille,,23725,2022,2013,3
Coe,,150,2022,2013,3
Maranatha Baptist,,1194,2022,2013,3
Yeshiva,,814,2022,2013,3
Keene St.,,330,2022,2013,3
Rivier,,18422,2022,2013,3
Finlandia,,30032,2022,2013,3
Principia,,555,2022,2013,3
Albright,,16,2022,2013,3
